episode,reward,rolling_reward_50
244,-636.6292500960985,-626.5781351904302
245,-542.3500366209057,-622.0511253259672
246,-142.2276038237842,-611.8696491969821
247,-1116.831230510736,-618.9880233677576
248,-729.7971579306022,-621.2427009420136
249,-211.521817406332,-614.5087311073411
250,-218.35600921323052,-606.1004872860158
251,-154.26027712403976,-591.8238151608768
252,-257.0803859594894,-584.69581567434
253,-136.6197009529816,-571.3668753448679
254,-108.11606318447613,-555.8379644893441
255,-84.13234568996926,-542.3789085923288
256,-198.8469999619065,-532.538993782406
257,-50.96384705992056,-512.9293810402623
258,-71.8717933995246,-503.8763667352056
259,-63.47130351197134,-496.35606046440887
260,-119.12452842379868,-477.175815310807
261,-80.74516053346633,-463.17454713843165
262,-90.84087467314032,-453.350164705827
263,-57.297484380324235,-442.45712284468016
264,-71.26822812533723,-429.36246274035676
265,-95.73325173264394,-418.65837969403435
266,-128.09641385947577,-403.1851954772668
267,-101.69561651865892,-392.74389579218376
268,-148.8578060455683,-385.87010243799506
269,-61.83624177286106,-377.8495023756431
270,-105.00760054432796,-373.15321770163246
271,-93.29326286692844,-361.5541098130666
272,-73.76356083588988,-351.467828787756
273,-349.2082457902608,-348.95853485259016
274,-24.572492106940555,-336.93455192854407
275,-116.52500796607359,-327.0713430300178
276,-94.0400506190573,-314.00384409045995
277,-120.63055382851397,-309.75602427809
278,-157.55733787636683,-297.86962591653634
279,-145.3884647252465,-293.7162442616976
280,-138.37778256218866,-283.8098077076355
281,-84.10103443061304,-275.6408122650582
282,-238.43776233544116,-275.23462641391797
283,-358.24021507791423,-268.5133709233764
284,-60.53789278299182,-260.98695315959947
285,-81.45810372495319,-251.60864632580146
286,-436.303745279683,-250.98720231514403
287,-97.87903802842537,-244.22314252079485
288,183.300129969363,-230.5744928885835
289,-72.24320137564766,-224.20939689554743
290,-441.4737326447099,-227.58391021166125
291,-216.24435867236406,-222.98092532726093
292,-306.16420188142155,-202.1080950044448
293,-174.38793173901263,-189.62213752473704
294,-239.66348912891482,-181.6828223053934
295,-228.01057756799477,-175.39603312433516
296,-197.55963173550197,-176.50267368256948
297,-212.9740124815246,-158.42552932198527
298,-110.41016353979823,-146.03778943416918
299,125.53830716753609,-139.29658694269182
300,-335.44853085936995,-141.63843737561461
301,-170.28394386174955,-141.95891071036883
302,-185.79484299496832,-140.53319985107842
303,-208.86104673053947,-141.9780267666296
304,-161.23364863037585,-143.04037847554758
305,-21.06835399400603,-141.7790986416283
306,-203.02479135026152,-141.8626544693954
307,-133.36941020881633,-143.5107657323733
308,-231.6533827712055,-146.70639751980693
309,180.08892744841245,-141.83519290059925
310,-212.77939779575286,-143.70829028803834
311,159.895139626213,-138.89548428484474
312,-242.21594085027647,-141.92298560838748
313,-214.26508330192863,-145.06233758681958
314,-35.63014483221619,-144.34957592095714
315,-316.1058237437543,-148.75702736117935
316,-197.40185387267974,-150.1431361614434
317,132.2721409291018,-145.4637810124882
318,-210.65324001853116,-146.69968969194747
319,-282.7020260513585,-151.1170053775174
320,-225.02830410141237,-153.5174194486591
321,-101.867187411104,-153.68889793954258
322,211.56947478114523,-147.9822372272019
323,-354.0583930005479,-148.07924017140766
324,-71.22042730204375,-149.0121988753097
325,-296.83051965330435,-152.6183091090543
326,-119.8772673327536,-153.13505344332827
327,-87.23807509408302,-152.46720386863967
328,-324.8351928118284,-155.81276096734888
329,-279.884729779708,-158.50268626843808
330,-213.44538560542128,-160.00403832930274
331,-131.42126533549558,-160.95044294740038
332,275.14560010314693,-150.6787756986286
333,173.7026565705462,-140.03991826565942
334,-26.168824937953644,-139.35253690875865
335,-164.53194218196916,-141.014013677899
336,-129.59044670406794,-134.8797477063867
337,-235.2558741242885,-137.62728442830397
338,-109.04373917037388,-143.4741618110987
339,136.83990589702847,-139.29249966564518
340,141.05671803966774,-127.64189065195761
341,-148.3778861633383,-126.2845612017771
342,252.45427312989426,-115.1121917015508
343,159.09230385104513,-108.44258698974961
344,-136.03509949703798,-106.37001919711209
345,169.1047063980855,-98.4277135177905
346,234.5210040867787,-89.78610080134487
347,36.51861175217108,-84.79624831667095
348,-241.50809184555348,-87.41820688278607
349,-38.80872861949156,-90.70514759852662
350,175.71071266745741,-80.48196272799007
351,238.22179738757447,-72.31184790300358
352,214.32371046933514,-64.30947683371753
353,-136.19068231359591,-62.85606954537864
354,165.61944462093894,-56.31900768035234
355,78.82041727409135,-54.321232254990385
356,248.91069886513677,-45.28252245068242
357,-140.3631755943199,-45.42239775839249
358,-233.39793644775816,-45.45728883192355
359,183.69921865912082,-45.3850830077094
360,13.078703800575596,-40.86792097578282
361,194.84334151338174,-40.16895693803944
362,215.88981332157238,-31.006841854602467
363,-193.8085169932173,-30.597710528428234
364,-186.3605182675845,-33.6123179971356
365,181.61187191068785,-23.657964084046764
366,108.77145345347351,-17.5344979375237
367,-42.33602799141312,-21.026661315934003
368,-200.34526829877558,-20.82050188153889
369,224.03824367612367,-10.685696486989245
370,38.15668933598175,-5.421996618241363
371,15.706178315162532,-3.07052930371603
372,-160.35005722105876,-10.50891994376011
373,-130.07988081844388,-6.029349700118034
374,-34.212840158422125,-5.2891979572456
375,-304.2345817974534,-5.437279200128582
376,-103.15691812684406,-5.102872216010389
377,-216.28205367851874,-7.683751787699103
378,-110.25465630697605,-3.3921410576020556
379,-9.015782976871236,2.0252378784546794
380,224.49821146793016,10.784109819921708
381,-2.904156580916533,13.354451995013289
382,132.33993314072245,10.498338655764798
383,115.51382326839985,9.33456198972187
384,-175.4757542061275,6.348423404358395
385,211.83321676841885,13.875726583366157
386,-206.7926785519775,12.331681946407965
387,224.3694713890713,21.524188856675163
388,146.20605340690093,26.629184708220656
389,-70.8273139755311,22.475840310769463
390,-123.63508054099465,17.18200433915622
391,-284.6245792493474,14.457070477436035
392,26.209261355248508,9.932170241943123
393,248.46840020988304,11.719692169119881
394,-52.44254171266791,13.391543324807282
395,-177.84394718901532,6.452570253065263
396,161.12263382484502,4.984602847826589
397,-157.2516672590851,1.1091972676014648
398,-153.14039178700693,2.8765512687723955
399,-53.43048179453933,2.5841162052714406
400,-25.446564712009433,-1.4390293423178968
401,-119.42408159807465,-8.59194692203088
402,-51.561782496028385,-13.90965678133815
403,-88.33925178518618,-12.952628170769955
404,-92.06719444571272,-18.106360952102985
